epoch,train_loss,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc
1,0.6429361443893582,0.6428483882828778,0.38497256226255805,0.6394816037628843,0.6892703862660944,0.4597014925373134,0.7245640423606525
2,0.5781930337933933,0.7076847652898639,0.58296905053331,0.7469255677145409,0.6875536480686695,0.5666666666666667,0.7331058771736738
3,0.5136556265108726,0.7469052579973036,0.6595218466611706,0.8137396416853904,0.6763948497854078,0.5209656925031766,0.7213662044170519
4,0.45548732045526596,0.7787719083220983,0.7131733672334339,0.8591627567594382,0.6566523605150214,0.5271867612293144,0.7111765353290778
5,0.4124167161391062,0.8005883073906116,0.7498077810241427,0.8860994228685262,0.6489270386266094,0.5510428100987925,0.7097641059505466
