epoch,train_loss,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc
1,0.6367727937067256,0.6429709523225886,0.4219091089501885,0.6502187146553402,0.6927038626609442,0.6191489361702127,0.7542556313742754
2,0.5203733950853348,0.7477632062752788,0.6593843098311817,0.8078050731030707,0.7253218884120172,0.5949367088607594,0.7726294421209675
3,0.3974930598455317,0.8230175266576787,0.7718078381795196,0.8970908719693492,0.7253218884120172,0.6566523605150214,0.7908962506420133
4,0.2624762369940678,0.900477999754872,0.8747300215982722,0.9574238088483521,0.7167381974248928,0.6365638766519823,0.7778328074938243
5,0.15575014829416486,0.9499938717980144,0.9373464373464373,0.9859136768268166,0.7124463519313304,0.6162657502863689,0.768202607185658
