epoch,train_loss,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc
1,0.672603307167689,0.5891653388895698,0.22942528735632184,0.5513922103330241,0.6034334763948498,0.13157894736842105,0.6365287255117763
2,0.6111077291708367,0.6689545287412673,0.48444359610612714,0.7095636837695453,0.648068669527897,0.4900497512437811,0.6618240516545602
3,0.500931049561968,0.7630837112391224,0.6732037193575655,0.8396765610732038,0.6300429184549357,0.44387096774193546,0.6531935578545749
4,0.35566808682154205,0.8518200759897047,0.8037018996590356,0.9323637984928421,0.6300429184549357,0.5140924464487034,0.6551318267419961
5,0.23603232180078823,0.9167790170364015,0.8929190979340798,0.9763461726867312,0.6248927038626609,0.5192519251925193,0.652459828307286
